code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603999,读者传媒,3.025,6.47,6.41,6.57,6.35,6.28,8426837.0,1.46299,54449587.0,49.389,2.195,372672.0,372672.0
603998,方盛制药,2.885,6.42,6.25,6.42,6.18,6.24,5659169.0,1.33095,35748383.0,45.857,2.642,280311.78624,272976.29424
603997,继峰股份,-0.606,9.84,9.97,9.97,9.66,9.9,5933398.0,0.94181,58169062.0,20.642,3.367,629182.5888,619920.0
603996,中新科技,1.03,10.79,10.79,10.79,10.45,10.68,6689994.0,2.22888,71240945.0,22.02,2.062,323861.85,323861.85
603993,洛阳钼业,3.992,4.95,4.77,4.95,4.77,4.76,233022428.0,1.31906,1135576114.0,35.357,2.591,10691624.088585,8744557.428585
603991,至正股份,1.719,21.3,20.93,21.34,20.7,20.94,1022200.0,2.4883800000000003,21477133.0,41.765,3.228,158759.54574,87498.09534
603990,麦迪科技,2.003,48.39,47.66,48.8,47.08,47.44,565582.0,0.9383800000000001,27323757.0,75.609,9.032,390191.94237,291656.208
603989,艾华集团,-0.413,21.7,21.89,21.97,21.3,21.79,2031776.0,0.52097,43739033.0,22.371,4.654,846303.69334,846303.69334
603988,中电电机,0.874,12.69,12.55,12.69,12.06,12.58,6619648.0,2.81448,81471407.0,45.321,4.505,298468.8,298468.8
603987,康德莱,2.279,7.63,7.54,7.64,7.41,7.46,5145966.0,1.97206,38863155.0,20.079,2.599,336947.667,199099.98206
603986,兆易创新,3.867,101.79,99.75,101.98,96.83,98.0,5237047.0,2.52513,522284869.0,51.151,15.163,2897396.243352,2111095.885041
603985,恒润股份,1.858,25.77,25.17,25.85,25.17,25.3,829250.0,1.24587,21293346.0,20.363,2.505,268008.0,171525.12
603980,吉华集团,3.188,14.24,13.85,14.24,13.83,13.8,5311483.0,2.16236,74940756.0,16.127,1.699,712000.0,349781.517312
603979,金诚信,3.995,9.11,8.8,9.13,8.75,8.76,5098918.0,0.87399,45979957.0,26.029,1.327,531485.081552,531485.081552
603978,深圳新星,2.577,25.08,24.46,25.3,24.46,24.45,2355134.0,3.22906,58851358.0,15.975,2.932,401280.0,182922.68544
603977,国泰集团,3.117,8.27,8.07,8.39,8.0,8.02,3092547.0,1.7576100000000001,25269740.0,37.591,1.764,323550.50146,145512.304
603976,正川股份,9.995,21.57,19.31,21.57,19.24,19.61,9116546.0,23.80303,190555007.0,23.703,3.358,326138.4,82612.966266
603970,中农立华,0.988,17.37,17.18,17.41,16.98,17.2,2543104.0,3.19485,43691494.0,19.763,3.306,277920.13896,138265.33896
603969,银龙股份,4.788,5.69,5.48,5.76,5.37,5.43,30457549.0,3.6215900000000003,170637250.0,18.967,2.872,478529.0,478529.0
603968,醋化股份,2.692,15.26,14.85,15.26,14.81,14.86,3392009.0,1.6588500000000002,51206853.0,19.316,2.232,312036.48,312036.48
603966,法兰泰克,9.962,11.59,10.66,11.59,10.51,10.54,6106610.0,6.56702,69969464.0,28.268,2.783,244525.3564,107774.371536
603963,大理药业,2.529,15.0,15.18,15.18,14.7,14.63,2334210.0,3.05625,34893050.0,27.273,4.25,195000.0,114562.5
